,train,val,test
0,slide_0,slide_3,slide_6
1,slide_1,slide_14,slide_7
2,slide_2,slide_17,slide_8
3,slide_4,slide_23,slide_9
4,slide_5,slide_49,slide_10
5,slide_11,slide_50,slide_16
6,slide_12,slide_54,slide_25
7,slide_13,slide_55,slide_26
8,slide_15,slide_56,slide_31
9,slide_18,slide_65,slide_36
10,slide_19,slide_70,slide_40
11,slide_20,slide_75,slide_51
12,slide_21,slide_84,slide_53
13,slide_22,slide_86,slide_59
14,slide_24,slide_90,slide_62
15,slide_27,slide_91,slide_63
16,slide_28,slide_92,slide_69
17,slide_29,slide_95,slide_77
18,slide_30,slide_99,slide_89
19,slide_32,slide_100,slide_93
20,slide_33,slide_103,slide_102
21,slide_34,slide_111,slide_105
22,slide_35,slide_114,slide_106
23,slide_37,slide_118,slide_117
24,slide_38,slide_123,slide_121
25,slide_39,slide_124,slide_126
26,slide_41,slide_125,slide_130
27,slide_42,slide_128,slide_135
28,slide_43,slide_132,slide_139
29,slide_44,slide_136,slide_141
30,slide_45,slide_137,slide_149
31,slide_46,slide_148,slide_156
32,slide_47,slide_151,slide_158
33,slide_48,slide_154,slide_159
34,slide_52,slide_157,slide_163
35,slide_57,slide_161,slide_170
36,slide_58,slide_162,slide_174
37,slide_60,slide_181,slide_180
38,slide_61,slide_185,slide_187
39,slide_64,slide_190,slide_188
40,slide_66,slide_201,slide_192
41,slide_67,slide_206,slide_193
42,slide_68,slide_212,slide_195
43,slide_71,slide_216,slide_197
44,slide_72,slide_220,slide_207
45,slide_73,slide_221,slide_209
46,slide_74,slide_224,slide_218
47,slide_76,slide_228,slide_219
48,slide_78,slide_232,slide_223
49,slide_79,slide_234,slide_231
50,slide_80,slide_243,slide_244
51,slide_81,slide_250,slide_245
52,slide_82,slide_251,slide_249
53,slide_83,slide_264,slide_268
54,slide_85,slide_276,slide_269
55,slide_87,slide_284,slide_270
56,slide_88,slide_287,slide_271
57,slide_94,slide_288,slide_272
58,slide_96,slide_289,slide_277
59,slide_97,slide_292,slide_295
60,slide_98,slide_296,slide_304
61,slide_101,slide_297,slide_305
62,slide_104,slide_298,slide_307
63,slide_107,slide_300,slide_316
64,slide_108,slide_311,slide_325
65,slide_109,slide_312,slide_326
66,slide_110,slide_315,slide_330
67,slide_112,slide_320,slide_334
68,slide_113,slide_322,slide_340
69,slide_115,slide_335,slide_345
70,slide_116,slide_336,slide_347
71,slide_119,slide_337,slide_365
72,slide_120,slide_350,slide_383
73,slide_122,slide_353,slide_384
74,slide_127,slide_358,slide_394
75,slide_129,slide_362,slide_397
76,slide_131,slide_363,slide_400
77,slide_133,slide_368,slide_401
78,slide_134,slide_375,slide_404
79,slide_138,slide_380,slide_406
80,slide_140,slide_381,slide_409
81,slide_142,slide_393,slide_426
82,slide_143,slide_408,slide_435
83,slide_144,slide_414,slide_436
84,slide_145,slide_416,slide_440
85,slide_146,slide_430,slide_442
86,slide_147,slide_431,slide_448
87,slide_150,slide_438,slide_460
88,slide_152,slide_447,slide_462
89,slide_153,slide_450,slide_464
90,slide_155,slide_452,slide_482
91,slide_160,slide_453,slide_484
92,slide_164,slide_458,slide_485
93,slide_165,slide_463,slide_497
94,slide_166,slide_468,slide_500
95,slide_167,slide_476,slide_503
96,slide_168,slide_481,slide_512
97,slide_169,slide_494,slide_514
98,slide_171,slide_496,slide_515
99,slide_172,slide_498,slide_519
100,slide_173,slide_504,slide_528
101,slide_175,slide_505,slide_539
102,slide_176,slide_508,slide_546
103,slide_177,slide_523,slide_553
104,slide_178,slide_531,slide_557
105,slide_179,slide_533,slide_558
106,slide_182,slide_534,slide_560
107,slide_183,slide_535,slide_561
108,slide_184,slide_540,slide_573
109,slide_186,slide_544,slide_588
110,slide_189,slide_548,slide_589
111,slide_191,slide_549,slide_592
112,slide_194,slide_550,slide_606
113,slide_196,slide_552,slide_623
114,slide_198,slide_586,slide_637
115,slide_199,slide_595,slide_640
116,slide_200,slide_598,slide_642
117,slide_202,slide_608,slide_647
118,slide_203,slide_610,slide_659
119,slide_204,slide_624,slide_663
120,slide_205,slide_633,slide_667
121,slide_208,slide_646,slide_677
122,slide_210,slide_653,slide_678
123,slide_211,slide_654,slide_679
124,slide_213,slide_660,slide_687
125,slide_214,slide_689,slide_688
126,slide_215,slide_691,slide_690
127,slide_217,slide_692,slide_703
128,slide_222,slide_695,slide_717
129,slide_225,slide_700,slide_723
130,slide_226,slide_704,slide_729
131,slide_227,slide_706,slide_737
132,slide_229,slide_710,slide_750
133,slide_230,slide_714,slide_769
134,slide_233,slide_715,slide_774
135,slide_235,slide_716,slide_782
136,slide_236,slide_720,slide_785
137,slide_237,slide_724,slide_795
138,slide_238,slide_728,slide_800
139,slide_239,slide_733,slide_812
140,slide_240,slide_734,slide_815
141,slide_241,slide_738,slide_819
142,slide_242,slide_744,slide_821
143,slide_246,slide_751,slide_825
144,slide_247,slide_754,slide_828
145,slide_248,slide_765,slide_830
146,slide_252,slide_766,slide_837
147,slide_253,slide_768,slide_838
148,slide_254,slide_772,slide_842
149,slide_255,slide_790,slide_850
150,slide_256,slide_791,slide_851
151,slide_257,slide_792,slide_858
152,slide_258,slide_799,slide_862
153,slide_259,slide_801,slide_864
154,slide_260,slide_807,slide_872
155,slide_261,slide_816,slide_875
156,slide_262,slide_817,slide_880
157,slide_263,slide_820,slide_884
158,slide_265,slide_824,slide_890
159,slide_266,slide_826,slide_895
160,slide_267,slide_827,slide_906
161,slide_273,slide_831,slide_911
162,slide_274,slide_836,slide_913
163,slide_275,slide_839,slide_915
164,slide_278,slide_856,slide_921
165,slide_279,slide_860,slide_922
166,slide_280,slide_865,slide_925
167,slide_281,slide_867,slide_929
168,slide_282,slide_868,slide_941
169,slide_283,slide_870,slide_942
170,slide_285,slide_871,slide_944
171,slide_286,slide_878,slide_948
172,slide_290,slide_882,slide_955
173,slide_291,slide_891,slide_956
174,slide_293,slide_894,slide_961
175,slide_294,slide_897,slide_962
176,slide_299,slide_900,slide_964
177,slide_301,slide_908,slide_967
178,slide_302,slide_910,slide_970
179,slide_303,slide_912,slide_974
180,slide_306,slide_919,slide_977
181,slide_308,slide_920,slide_979
182,slide_309,slide_924,slide_991
183,slide_310,slide_930,slide_997
184,slide_313,slide_937,slide_1006
185,slide_314,slide_938,slide_1009
186,slide_317,slide_945,slide_1010
187,slide_318,slide_952,slide_1013
188,slide_319,slide_968,slide_1014
189,slide_321,slide_971,slide_1016
190,slide_323,slide_976,slide_1020
191,slide_324,slide_980,slide_1026
192,slide_327,slide_985,slide_1028
193,slide_328,slide_988,slide_1029
194,slide_329,slide_995,slide_1032
195,slide_331,slide_996,slide_1040
196,slide_332,slide_1000,slide_1042
197,slide_333,slide_1011,slide_1043
198,slide_338,slide_1018,slide_1045
199,slide_339,slide_1021,slide_1046
200,slide_341,slide_1024,slide_1051
