,train,val,test
slide_8,True,False,False
slide_20,True,False,False
slide_21,True,False,False
slide_32,True,False,False
slide_64,True,False,False
slide_78,True,False,False
slide_117,True,False,False
slide_118,True,False,False
slide_121,True,False,False
slide_153,True,False,False
slide_161,True,False,False
slide_166,True,False,False
slide_172,True,False,False
slide_210,True,False,False
slide_227,True,False,False
slide_231,True,False,False
slide_282,True,False,False
slide_311,True,False,False
slide_334,True,False,False
slide_343,True,False,False
slide_347,True,False,False
slide_354,True,False,False
slide_361,True,False,False
slide_369,True,False,False
slide_380,True,False,False
slide_386,True,False,False
slide_403,True,False,False
slide_408,True,False,False
slide_411,True,False,False
slide_439,True,False,False
slide_471,True,False,False
slide_488,True,False,False
slide_530,True,False,False
slide_550,True,False,False
slide_564,True,False,False
slide_565,True,False,False
slide_581,True,False,False
slide_584,True,False,False
slide_616,True,False,False
slide_638,True,False,False
slide_665,True,False,False
slide_668,True,False,False
slide_675,True,False,False
slide_676,True,False,False
slide_678,True,False,False
slide_690,True,False,False
slide_691,True,False,False
slide_692,True,False,False
slide_697,True,False,False
slide_702,True,False,False
slide_710,True,False,False
slide_727,True,False,False
slide_730,True,False,False
slide_779,True,False,False
slide_782,True,False,False
slide_794,True,False,False
slide_807,True,False,False
slide_819,True,False,False
slide_850,True,False,False
slide_852,True,False,False
slide_856,True,False,False
slide_864,True,False,False
slide_910,True,False,False
slide_917,True,False,False
slide_942,True,False,False
slide_966,True,False,False
slide_972,True,False,False
slide_974,True,False,False
slide_976,True,False,False
slide_981,True,False,False
slide_1006,True,False,False
slide_1009,True,False,False
slide_1026,True,False,False
slide_1031,True,False,False
slide_1035,True,False,False
slide_1041,True,False,False
slide_1066,True,False,False
slide_1080,True,False,False
slide_1087,True,False,False
slide_1088,True,False,False
slide_1114,True,False,False
slide_1115,True,False,False
slide_1116,True,False,False
slide_1152,True,False,False
slide_1164,True,False,False
slide_1195,True,False,False
slide_1203,True,False,False
slide_1212,True,False,False
slide_1215,True,False,False
slide_1234,True,False,False
slide_1235,True,False,False
slide_1236,True,False,False
slide_1241,True,False,False
slide_1252,True,False,False
slide_1255,True,False,False
slide_1265,True,False,False
slide_1269,True,False,False
slide_1283,True,False,False
slide_1,True,False,False
slide_2,True,False,False
slide_9,True,False,False
slide_11,True,False,False
slide_12,True,False,False
slide_13,True,False,False
slide_14,True,False,False
slide_16,True,False,False
slide_17,True,False,False
slide_18,True,False,False
slide_25,True,False,False
slide_26,True,False,False
slide_27,True,False,False
slide_28,True,False,False
slide_31,True,False,False
slide_33,True,False,False
slide_34,True,False,False
slide_36,True,False,False
slide_39,True,False,False
slide_40,True,False,False
slide_41,True,False,False
slide_43,True,False,False
slide_44,True,False,False
slide_46,True,False,False
slide_47,True,False,False
slide_48,True,False,False
slide_50,True,False,False
slide_53,True,False,False
slide_54,True,False,False
slide_56,True,False,False
slide_58,True,False,False
slide_61,True,False,False
slide_63,True,False,False
slide_68,True,False,False
slide_69,True,False,False
slide_71,True,False,False
slide_73,True,False,False
slide_74,True,False,False
slide_75,True,False,False
slide_76,True,False,False
slide_77,True,False,False
slide_80,True,False,False
slide_82,True,False,False
slide_83,True,False,False
slide_85,True,False,False
slide_87,True,False,False
slide_88,True,False,False
slide_89,True,False,False
slide_91,True,False,False
slide_92,True,False,False
slide_94,True,False,False
slide_96,True,False,False
slide_97,True,False,False
slide_98,True,False,False
slide_99,True,False,False
slide_100,True,False,False
slide_101,True,False,False
slide_103,True,False,False
slide_109,True,False,False
slide_120,True,False,False
slide_123,True,False,False
slide_126,True,False,False
slide_128,True,False,False
slide_129,True,False,False
slide_130,True,False,False
slide_131,True,False,False
slide_134,True,False,False
slide_135,True,False,False
slide_137,True,False,False
slide_138,True,False,False
slide_139,True,False,False
slide_140,True,False,False
slide_141,True,False,False
slide_143,True,False,False
slide_144,True,False,False
slide_145,True,False,False
slide_147,True,False,False
slide_148,True,False,False
slide_151,True,False,False
slide_152,True,False,False
slide_154,True,False,False
slide_155,True,False,False
slide_156,True,False,False
slide_159,True,False,False
slide_162,True,False,False
slide_163,True,False,False
slide_164,True,False,False
slide_167,True,False,False
slide_168,True,False,False
slide_169,True,False,False
slide_170,True,False,False
slide_173,True,False,False
slide_175,True,False,False
slide_176,True,False,False
slide_179,True,False,False
slide_180,True,False,False
slide_181,True,False,False
slide_182,True,False,False
slide_184,True,False,False
slide_185,True,False,False
slide_186,True,False,False
slide_188,True,False,False
slide_190,True,False,False
slide_194,True,False,False
slide_196,True,False,False
slide_197,True,False,False
slide_198,True,False,False
slide_199,True,False,False
slide_200,True,False,False
slide_202,True,False,False
slide_205,True,False,False
slide_206,True,False,False
slide_209,True,False,False
slide_214,True,False,False
slide_215,True,False,False
slide_216,True,False,False
slide_217,True,False,False
slide_220,True,False,False
slide_224,True,False,False
slide_225,True,False,False
slide_230,True,False,False
slide_234,True,False,False
slide_236,True,False,False
slide_238,True,False,False
slide_242,True,False,False
slide_244,True,False,False
slide_246,True,False,False
slide_247,True,False,False
slide_248,True,False,False
slide_250,True,False,False
slide_251,True,False,False
slide_254,True,False,False
slide_256,True,False,False
slide_257,True,False,False
slide_260,True,False,False
slide_261,True,False,False
slide_262,True,False,False
slide_263,True,False,False
slide_265,True,False,False
slide_266,True,False,False
slide_269,True,False,False
slide_270,True,False,False
slide_272,True,False,False
slide_273,True,False,False
slide_274,True,False,False
slide_276,True,False,False
slide_277,True,False,False
slide_279,True,False,False
slide_281,True,False,False
slide_283,True,False,False
slide_285,True,False,False
slide_288,True,False,False
slide_294,True,False,False
slide_295,True,False,False
slide_296,True,False,False
slide_297,True,False,False
slide_300,True,False,False
slide_301,True,False,False
slide_306,True,False,False
slide_307,True,False,False
slide_310,True,False,False
slide_315,True,False,False
slide_317,True,False,False
slide_319,True,False,False
slide_320,True,False,False
slide_322,True,False,False
slide_323,True,False,False
slide_324,True,False,False
slide_326,True,False,False
slide_327,True,False,False
slide_329,True,False,False
slide_331,True,False,False
slide_332,True,False,False
slide_335,True,False,False
slide_336,True,False,False
slide_337,True,False,False
slide_338,True,False,False
slide_340,True,False,False
slide_342,True,False,False
slide_344,True,False,False
slide_345,True,False,False
slide_346,True,False,False
slide_348,True,False,False
slide_349,True,False,False
slide_350,True,False,False
slide_351,True,False,False
slide_357,True,False,False
slide_359,True,False,False
slide_362,True,False,False
slide_363,True,False,False
slide_364,True,False,False
slide_365,True,False,False
slide_367,True,False,False
slide_368,True,False,False
slide_370,True,False,False
slide_371,True,False,False
slide_373,True,False,False
slide_374,True,False,False
slide_377,True,False,False
slide_378,True,False,False
slide_381,True,False,False
slide_382,True,False,False
slide_383,True,False,False
slide_384,True,False,False
slide_385,True,False,False
slide_387,True,False,False
slide_390,True,False,False
slide_394,True,False,False
slide_395,True,False,False
slide_396,True,False,False
slide_397,True,False,False
slide_398,True,False,False
slide_400,True,False,False
slide_401,True,False,False
slide_404,True,False,False
slide_406,True,False,False
slide_407,True,False,False
slide_413,True,False,False
slide_416,True,False,False
slide_418,True,False,False
slide_419,True,False,False
slide_420,True,False,False
slide_421,True,False,False
slide_422,True,False,False
slide_425,True,False,False
slide_426,True,False,False
slide_428,True,False,False
slide_431,True,False,False
slide_432,True,False,False
slide_433,True,False,False
slide_435,True,False,False
slide_436,True,False,False
slide_437,True,False,False
slide_438,True,False,False
slide_443,True,False,False
slide_444,True,False,False
slide_446,True,False,False
slide_447,True,False,False
slide_449,True,False,False
slide_450,True,False,False
slide_452,True,False,False
slide_453,True,False,False
slide_456,True,False,False
slide_458,True,False,False
slide_459,True,False,False
slide_460,True,False,False
slide_461,True,False,False
slide_462,True,False,False
slide_463,True,False,False
slide_464,True,False,False
slide_465,True,False,False
slide_467,True,False,False
slide_469,True,False,False
slide_470,True,False,False
slide_473,True,False,False
slide_474,True,False,False
slide_475,True,False,False
slide_476,True,False,False
slide_477,True,False,False
slide_479,True,False,False
slide_480,True,False,False
slide_482,True,False,False
slide_485,True,False,False
slide_487,True,False,False
slide_489,True,False,False
slide_490,True,False,False
slide_491,True,False,False
slide_497,True,False,False
slide_498,True,False,False
slide_500,True,False,False
slide_501,True,False,False
slide_502,True,False,False
slide_503,True,False,False
slide_504,True,False,False
slide_505,True,False,False
slide_506,True,False,False
slide_507,True,False,False
slide_508,True,False,False
slide_509,True,False,False
slide_510,True,False,False
slide_513,True,False,False
slide_514,True,False,False
slide_516,True,False,False
slide_517,True,False,False
slide_518,True,False,False
slide_521,True,False,False
slide_522,True,False,False
slide_524,True,False,False
slide_525,True,False,False
slide_528,True,False,False
slide_529,True,False,False
slide_531,True,False,False
slide_533,True,False,False
slide_534,True,False,False
slide_536,True,False,False
slide_537,True,False,False
slide_538,True,False,False
slide_541,True,False,False
slide_542,True,False,False
slide_543,True,False,False
slide_545,True,False,False
slide_547,True,False,False
slide_549,True,False,False
slide_552,True,False,False
slide_554,True,False,False
slide_556,True,False,False
slide_558,True,False,False
slide_559,True,False,False
slide_561,True,False,False
slide_562,True,False,False
slide_566,True,False,False
slide_567,True,False,False
slide_568,True,False,False
slide_569,True,False,False
slide_572,True,False,False
slide_573,True,False,False
slide_574,True,False,False
slide_576,True,False,False
slide_579,True,False,False
slide_585,True,False,False
slide_588,True,False,False
slide_589,True,False,False
slide_591,True,False,False
slide_592,True,False,False
slide_593,True,False,False
slide_597,True,False,False
slide_598,True,False,False
slide_599,True,False,False
slide_600,True,False,False
slide_603,True,False,False
slide_604,True,False,False
slide_607,True,False,False
slide_608,True,False,False
slide_611,True,False,False
slide_612,True,False,False
slide_613,True,False,False
slide_614,True,False,False
slide_615,True,False,False
slide_617,True,False,False
slide_618,True,False,False
slide_620,True,False,False
slide_623,True,False,False
slide_624,True,False,False
slide_627,True,False,False
slide_630,True,False,False
slide_632,True,False,False
slide_634,True,False,False
slide_635,True,False,False
slide_636,True,False,False
slide_642,True,False,False
slide_646,True,False,False
slide_650,True,False,False
slide_651,True,False,False
slide_652,True,False,False
slide_654,True,False,False
slide_657,True,False,False
slide_658,True,False,False
slide_659,True,False,False
slide_660,True,False,False
slide_662,True,False,False
slide_663,True,False,False
slide_667,True,False,False
slide_669,True,False,False
slide_672,True,False,False
slide_673,True,False,False
slide_679,True,False,False
slide_682,True,False,False
slide_683,True,False,False
slide_684,True,False,False
slide_687,True,False,False
slide_688,True,False,False
slide_693,True,False,False
slide_695,True,False,False
slide_699,True,False,False
slide_700,True,False,False
slide_701,True,False,False
slide_704,True,False,False
slide_706,True,False,False
slide_707,True,False,False
slide_708,True,False,False
slide_709,True,False,False
slide_714,True,False,False
slide_715,True,False,False
slide_716,True,False,False
slide_717,True,False,False
slide_718,True,False,False
slide_722,True,False,False
slide_724,True,False,False
slide_726,True,False,False
slide_729,True,False,False
slide_731,True,False,False
slide_732,True,False,False
slide_740,True,False,False
slide_744,True,False,False
slide_746,True,False,False
slide_749,True,False,False
slide_753,True,False,False
slide_756,True,False,False
slide_757,True,False,False
slide_758,True,False,False
slide_759,True,False,False
slide_763,True,False,False
slide_765,True,False,False
slide_766,True,False,False
slide_769,True,False,False
slide_771,True,False,False
slide_773,True,False,False
slide_774,True,False,False
slide_781,True,False,False
slide_784,True,False,False
slide_789,True,False,False
slide_791,True,False,False
slide_792,True,False,False
slide_793,True,False,False
slide_797,True,False,False
slide_798,True,False,False
slide_800,True,False,False
slide_801,True,False,False
slide_802,True,False,False
slide_803,True,False,False
slide_804,True,False,False
slide_805,True,False,False
slide_806,True,False,False
slide_808,True,False,False
slide_809,True,False,False
slide_811,True,False,False
slide_813,True,False,False
slide_814,True,False,False
slide_820,True,False,False
slide_821,True,False,False
slide_825,True,False,False
slide_826,True,False,False
slide_827,True,False,False
slide_830,True,False,False
slide_831,True,False,False
slide_835,True,False,False
slide_836,True,False,False
slide_842,True,False,False
slide_843,True,False,False
slide_844,True,False,False
slide_846,True,False,False
slide_847,True,False,False
slide_853,True,False,False
slide_854,True,False,False
slide_858,True,False,False
slide_860,True,False,False
slide_861,True,False,False
slide_862,True,False,False
slide_863,True,False,False
slide_867,True,False,False
slide_868,True,False,False
slide_870,True,False,False
slide_871,True,False,False
slide_874,True,False,False
slide_877,True,False,False
slide_878,True,False,False
slide_879,True,False,False
slide_881,True,False,False
slide_882,True,False,False
slide_883,True,False,False
slide_886,True,False,False
slide_887,True,False,False
slide_888,True,False,False
slide_889,True,False,False
slide_890,True,False,False
slide_891,True,False,False
slide_892,True,False,False
slide_893,True,False,False
slide_895,True,False,False
slide_896,True,False,False
slide_897,True,False,False
slide_899,True,False,False
slide_901,True,False,False
slide_904,True,False,False
slide_906,True,False,False
slide_907,True,False,False
slide_908,True,False,False
slide_909,True,False,False
slide_911,True,False,False
slide_913,True,False,False
slide_921,True,False,False
slide_922,True,False,False
slide_924,True,False,False
slide_925,True,False,False
slide_927,True,False,False
slide_928,True,False,False
slide_930,True,False,False
slide_931,True,False,False
slide_932,True,False,False
slide_934,True,False,False
slide_935,True,False,False
slide_937,True,False,False
slide_938,True,False,False
slide_939,True,False,False
slide_941,True,False,False
slide_943,True,False,False
slide_945,True,False,False
slide_946,True,False,False
slide_948,True,False,False
slide_951,True,False,False
slide_952,True,False,False
slide_953,True,False,False
slide_956,True,False,False
slide_958,True,False,False
slide_961,True,False,False
slide_962,True,False,False
slide_963,True,False,False
slide_964,True,False,False
slide_967,True,False,False
slide_968,True,False,False
slide_969,True,False,False
slide_971,True,False,False
slide_975,True,False,False
slide_977,True,False,False
slide_982,True,False,False
slide_984,True,False,False
slide_985,True,False,False
slide_986,True,False,False
slide_987,True,False,False
slide_990,True,False,False
slide_991,True,False,False
slide_999,True,False,False
slide_1000,True,False,False
slide_1003,True,False,False
slide_1004,True,False,False
slide_1005,True,False,False
slide_1007,True,False,False
slide_1015,True,False,False
slide_1016,True,False,False
slide_1017,True,False,False
slide_1021,True,False,False
slide_1022,True,False,False
slide_1024,True,False,False
slide_1025,True,False,False
slide_1027,True,False,False
slide_1028,True,False,False
slide_1029,True,False,False
slide_1036,True,False,False
slide_1037,True,False,False
slide_1039,True,False,False
slide_1040,True,False,False
slide_1042,True,False,False
slide_1043,True,False,False
slide_1044,True,False,False
slide_1045,True,False,False
slide_1046,True,False,False
slide_1048,True,False,False
slide_1050,True,False,False
slide_1051,True,False,False
slide_1052,True,False,False
slide_1054,True,False,False
