,train,val,test
0,slide_4,slide_981,slide_1035
1,slide_32,slide_917,slide_347
2,slide_49,slide_1159,slide_807
3,slide_52,slide_380,slide_643
4,slide_60,slide_21,slide_974
5,slide_64,slide_8,slide_95
6,slide_67,slide_1116,slide_408
7,slide_107,slide_1245,slide_430
8,slide_117,slide_872,slide_1203
9,slide_118,slide_972,slide_334
10,slide_121,slide_203,slide_885
11,slide_124,slide_723,slide_966
12,slide_149,slide_227,slide_1093
13,slide_153,slide_386,slide_530
14,slide_161,slide_1220,slide_680
15,slide_166,slide_824,slide_311
16,slide_172,slide_399,slide_486
17,slide_189,slide_584,slide_1006
18,slide_193,slide_411,slide_850
19,slide_210,slide_920,slide_954
20,slide_231,slide_1088,slide_488
21,slide_282,slide_834,slide_671
22,slide_289,slide_697,slide_1178
23,slide_302,slide_388,slide_439
24,slide_353,slide_1080,slide_20
25,slide_354,slide_898,slide_727
26,slide_361,slide_730,slide_1164
27,slide_369,slide_1234,slide_343
28,slide_403,slide_1265,slide_668
29,slide_415,slide_782,slide_978
30,slide_471,slide_557,slide_1252
31,slide_548,slide_976,slide_78
32,slide_550,slide_323,slide_944
33,slide_564,slide_213,slide_18
34,slide_565,slide_1094,slide_93
35,slide_577,slide_1007,slide_935
36,slide_581,slide_818,slide_12
37,slide_605,slide_104,slide_1014
38,slide_609,slide_473,slide_99
39,slide_616,slide_100,slide_1128
40,slide_625,slide_648,slide_936
41,slide_638,slide_959,slide_310
42,slide_665,slide_924,slide_1281
43,slide_670,slide_450,slide_755
44,slide_675,slide_531,slide_122
45,slide_676,slide_351,slide_320
46,slide_678,slide_784,slide_849
47,slide_689,slide_787,slide_461
48,slide_690,slide_1136,slide_321
49,slide_691,slide_271,slide_217
50,slide_692,slide_633,slide_1052
51,slide_702,slide_610,slide_1167
52,slide_710,slide_152,slide_896
53,slide_754,slide_1016,slide_443
54,slide_778,slide_164,slide_389
55,slide_779,slide_317,slide_345
56,slide_786,slide_532,slide_195
57,slide_794,slide_1156,slide_543
58,slide_816,slide_214,slide_1170
59,slide_819,slide_925,slide_498
60,slide_823,slide_933,slide_484
61,slide_852,slide_567,slide_211
62,slide_856,slide_362,slide_635
63,slide_857,slide_623,slide_61
64,slide_864,slide_891,slide_589
65,slide_865,slide_333,slide_262
66,slide_880,slide_693,slide_628
67,slide_910,slide_47,slide_346
68,slide_916,slide_1083,slide_255
69,slide_942,slide_844,slide_507
70,slide_1009,slide_537,slide_266
71,slide_1026,slide_853,slide_1280
72,slide_1031,slide_499,slide_962
73,slide_1041,slide_765,slide_81
74,slide_1059,slide_851,slide_1102
75,slide_1066,slide_758,slide_862
76,slide_1074,slide_1237,slide_101
77,slide_1084,slide_1013,slide_1232
78,slide_1087,slide_783,slide_0
79,slide_1095,slide_204,slide_1077
80,slide_1114,slide_1150,slide_1024
81,slide_1115,slide_350,slide_617
82,slide_1125,slide_1290,slide_1051
83,slide_1152,slide_250,slide_379
84,slide_1175,slide_1259,slide_682
85,slide_1195,slide_521,slide_1068
86,slide_1199,slide_157,slide_724
87,slide_1210,slide_1069,slide_606
88,slide_1212,slide_128,slide_653
89,slide_1215,slide_56,slide_1214
90,slide_1229,slide_977,slide_1166
91,slide_1235,slide_519,slide_433
92,slide_1236,slide_785,slide_1279
93,slide_1240,slide_876,slide_286
94,slide_1241,slide_19,slide_839
95,slide_1255,slide_1169,slide_1217
96,slide_1269,slide_934,slide_1143
97,slide_1283,slide_490,slide_427
98,slide_2,slide_366,slide_769
99,slide_3,slide_303,slide_71
100,slide_6,slide_793,slide_441
101,slide_9,slide_241,slide_144
102,slide_10,slide_1056,slide_248
103,slide_11,slide_335,slide_639
104,slide_13,slide_169,slide_447
105,slide_16,slide_1047,slide_1092
106,slide_17,slide_1184,slide_882
107,slide_22,slide_96,slide_1119
108,slide_27,slide_44,slide_1123
109,slide_29,slide_646,slide_696
110,slide_31,slide_1231,slide_717
111,slide_33,slide_777,slide_608
112,slide_34,slide_1205,slide_83
113,slide_35,slide_1012,slide_651
114,slide_36,slide_444,slide_843
115,slide_37,slide_50,slide_1274
116,slide_38,slide_515,slide_58
117,slide_39,slide_1219,slide_655
118,slide_40,slide_221,slide_704
119,slide_41,slide_528,slide_1218
120,slide_42,slide_79,slide_206
121,slide_45,slide_279,slide_66
122,slide_46,slide_524,slide_712
123,slide_48,slide_1140,slide_23
124,slide_62,slide_328,slide_776
125,slide_63,slide_711,slide_998
126,slide_65,slide_728,slide_105
127,slide_68,slide_5,slide_1208
128,slide_70,slide_775,slide_756
129,slide_74,slide_155,slide_734
130,slide_76,slide_749,slide_930
131,slide_77,slide_618,slide_1200
132,slide_80,slide_764,slide_561
133,slide_84,slide_15,slide_435
134,slide_86,slide_233,slide_239
135,slide_88,slide_999,slide_799
136,slide_89,slide_1010,slide_500
